code,iso,country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
4,AFG,Afghanistan,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
8,ALB,Albania,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
12,DZA,Algeria,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
20,AND,Andorra,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
24,AGO,Angola,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
660,AIA,Anguilla,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
28,ATG,Antigua and Barbuda,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
32,ARG,Argentina,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
51,ARM,Armenia,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
533,ABW,Aruba,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
36,AUS,Australia,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
40,AUT,Austria,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
31,AZE,Azerbaijan,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
44,BHS,Bahamas,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
48,BHR,Bahrain,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
50,BGD,Bangladesh,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
52,BRB,Barbados,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
112,BLR,Belarus,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
56,BEL,Belgium,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
84,BLZ,Belize,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
204,BEN,Benin,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
60,BMU,Bermuda,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
64,BTN,Bhutan,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
68,BOL,Bolivia,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
70,BIH,Bosnia and Herzegovina,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
72,BWA,Botswana,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
76,BRA,Brazil,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
92,VGB,British Virgin Islands,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
96,BRN,Brunei Darussalam,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
100,BGR,Bulgaria,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
854,BFA,Burkina Faso,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
108,BDI,Burundi,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
132,CPV,Cabo Verde,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
116,KHM,Cambodia,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
120,CMR,Cameroon,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
124,CAN,Canada,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
136,CYM,Cayman Islands,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
140,CAF,Central African Republic,360.97,362.74,363.88,366.84,368.54,369.71,371.32,373.45,375.98,377.7,379.98,382.09,384.03,385.83,387.64,390.1,391.85,394.06,396.74,398.87,401.01,404.41,406.76,408.72,411.66,414.24
